"","x"
"211","Oreophryne albitympanum"
"212","Oreophryne albomaculata"
"213","Oreophryne albopunctata"
"214","Oreophryne alticola"
"215","Oreophryne ampelos"
"216","Oreophryne anamiatoi"
"217","Oreophryne anser"
"218","Oreophryne anthonyi"
"219","Oreophryne anulata"
"220","Oreophryne asplenicola"
"221","Oreophryne atrigularis"
"222","Oreophryne aurora"
"223","Oreophryne banshee"
"224","Oreophryne biroi"
"225","Oreophryne brachypus"
"226","Oreophryne brevicrus"
"227","Oreophryne brevirostris"
"228","Oreophryne brunnea"
"229","Oreophryne cameroni"
"230","Oreophryne celebensis"
"231","Oreophryne choerophrynoides"
"232","Oreophryne clamata"
"233","Oreophryne crucifer"
"234","Oreophryne curator"
"235","Oreophryne equus"
"236","Oreophryne ezra"
"237","Oreophryne flava"
"238","Oreophryne flavomaculata"
"239","Oreophryne frontifasciata"
"240","Oreophryne furu"
"241","Oreophryne gagneorum"
"242","Oreophryne geislerorum"
"243","Oreophryne geminus"
"244","Oreophryne graminis"
"245","Oreophryne habbemensis"
"246","Oreophryne hypsiops"
"247","Oreophryne idenburgensis"
"248","Oreophryne inornata"
"249","Oreophryne insulana"
"250","Oreophryne jeffersoniana"
"251","Oreophryne kampeni"
"252","Oreophryne kapisa"
"253","Oreophryne lemur"
"254","Oreophryne loriae"
"255","Oreophryne matawan"
"256","Oreophryne meliades"
"257","Oreophryne mertoni"
"258","Oreophryne minuta"
"259","Oreophryne moluccensis"
"260","Oreophryne monticola"
"261","Oreophryne nicolasi"
"262","Oreophryne notata"
"263","Oreophryne oviprotector"
"264","Oreophryne parkopanorum"
"265","Oreophryne penelopeia"
"266","Oreophryne philosylleptoris"
"267","Oreophryne phoebe"
"268","Oreophryne picticrus"
"269","Oreophryne pseudasplenicola"
"270","Oreophryne pseudunicolor"
"271","Oreophryne roedeli"
"272","Oreophryne rookmaakeri"
"273","Oreophryne sibilans"
"274","Oreophryne streiffeleri"
"275","Oreophryne terrestris"
"276","Oreophryne unicolor"
"277","Oreophryne variabilis"
"278","Oreophryne waira"
"279","Oreophryne wapoga"
"280","Oreophryne zimmeri"
"281","Paedophryne amauensis"
"282","Paedophryne dekot"
"283","Paedophryne kathismaphlox"
"284","Paedophryne oyatabu"
"285","Paedophryne swiftorum"
"286","Paedophryne titan"
"287","Paedophryne verrucosa"
"288","Siamophryne troglodytes"
"289","Sphenophryne allisoni"
"290","Sphenophryne alpestris"
"291","Sphenophryne brevicrus"
"292","Sphenophryne coggeri"
"293","Sphenophryne cornuta"
"294","Sphenophryne crassa"
"295","Sphenophryne dentata"
"296","Sphenophryne magnitympanum"
"297","Sphenophryne miniafia"
"298","Sphenophryne rhododactyla"
"299","Sphenophryne rubra"
"300","Sphenophryne schlaginhaufeni"
"301","Sphenophryne similis"
"302","Sphenophryne stenodactyla"
"303","Sphenophryne thomsoni"
"304","Vietnamophryne inexpectata"
"305","Vietnamophryne occidentalis"
"306","Vietnamophryne orlovi"
"307","Xenorhina adisca"
"308","Xenorhina anorbis"
"309","Xenorhina arboricola"
"310","Xenorhina arfakiana"
"311","Xenorhina arndti"
"312","Xenorhina bidens"
"313","Xenorhina bouwensi"
"314","Xenorhina brachyrhyncha"
"315","Xenorhina eiponis"
"316","Xenorhina fuscigula"
"317","Xenorhina gigantea"
"318","Xenorhina huon"
"319","Xenorhina lanthanites"
"320","Xenorhina macrodisca"
"321","Xenorhina macrops"
"322","Xenorhina mehelyi"
"323","Xenorhina minima"
"324","Xenorhina multisica"
"325","Xenorhina obesa"
"326","Xenorhina ocellata"
"327","Xenorhina ophiodon"
"328","Xenorhina oxycephala"
"329","Xenorhina parkerorum"
"330","Xenorhina rostrata"
"331","Xenorhina scheepstrai"
"332","Xenorhina schiefenhoeveli"
"333","Xenorhina similis"
"334","Xenorhina subcrocea"
"335","Xenorhina tillacki"
"336","Xenorhina tumulus"
"337","Xenorhina varia"
"338","Xenorhina zweifeli"
