ST stratulus    m  9.0f15.0    
ST stratulus    m 13.0f15.0   
ST stratulus    m 20.0  1.5   
ST stratulus    m 27.0f 2.25 
ST stratulus    f 22.5f 7.5    
ST stratulus    m 24.0f 2.0    
ST stratulus    f  0.0 999    
ST stratulus    f 23.0  4.75 
ST stratulus    f  7.0f 4.5    
ST stratulus    m 19.0f 5.0    
ST stratulus    m 20.0f 2.75  
ST stratulus    m 12.0f 1.5   
ST stratulus    f 44.0  1.75   
ST stratulus    f  8.0f25.5 
ST stratulus    m 70.5  1.5   
ST stratulus    m  0.0 999     
ST stratulus    f  0.0 999    
ST stratulus    f 20.0f 1.375
ST stratulus    m 12.0f12.0    
