"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"EV","F","TC",1.06,0.065,0.03,0.48,1
"EV","F","TC",0.24,0.27,0.22,0.28,0.75
"EV","F","TC",1.82,0.06,0.1,0.25,0.6
"EV","F","TC",1.31,0.04,0.08,0.13,0.24
"EV","F","TC",0.17,0.034,0.17,0.59,0.37
"EV","F","TC",0.7,0.105,0.17,1,0.53
"EV","F","TC",0.94,0.014,0.02,0.27,0.66
"EV","F","TC",1.01,0.034,0.09,1,0.11
"EV","F","TC",2,0.035,0.19,1,1
"EV","F","TC",1.36,0.19,0.97,0.89,0.9
"EV","F","TC",1.77,0.21,1,1,0.44
"EV","F","TC",2.35,0.18,1,0.21,0.16
"EV","F","TC",2.04,0.29,0.21,0.46,0.31
"EV","F","TC",0.61,0.04,1,1,0.37
"EV","F","TC",0.61,0.22,0.39,0.66,0.53
"EV","F","TC",0.73,0.21,0.2,0.29,0.35
"EV","F","TC",0.79,0.069,0.22,0.8,0.81
"EV","F","TC",0.83,0.11,0.16,0.21,0.11
"EV","F","TC",1.17,0.034,0.06,0.45,1
"EV","F","TC",1.12,0.033,0.15,0.26,0.45
"EV","F","TC",0.76,0.044,0.11,0.26,0.26
"EV","F","TC",4,0.02,0.06,1,0.1
"EV","F","TC",0.43,0.11,0.33,1,1
"EV","F","TC",1.4,0.08,1,0.04,0.66
"EV","F","TC",0.65,0.35,0.12,0.34,0.37
"EV","F","TC",0.7,0.01,0.11,0.61,1
"EV","F","TC",0.88,0.02,0.08,1,0.55
"EV","F","TC",0.41,0.22,0.3,0.1,0.54
"EV","F","TC",10,0.08,0.15,0.1,0.1
"EV","F","TC",1,0.035,0.25,0.07,0.25
"EV","M","TC",1,3,1,1,1
"EV","M","TC",3,0.15,0,0,0
"EV","M","TC",4,0.15,0.25,1,0.05
"EV","M","TC",1.52,0.21,1,0.6,0.74
"EV","M","TC",0.75,0.068,0.16,0.13,0.23
"EV","M","TC",0.96,0.04,0.23,0.19,0.21
"EV","M","TC",1.52,0.075,0.4,1,0.39
"EV","M","TC",2.54,0.16,0.3,0.35,0.5
"EV","M","TC",1.18,0.12,0.18,0.12,0.19
"EV","M","TC",0,0,0.53,1,0.75
"EV","M","TC",0.6,0.035,0.11,1,0.14
"EV","M","TC",25,0.01,0.06,0.04,1
"EV","M","TC",6,0.01,0.05,0.2,0.4
"EV","M","TC",1.5,0.07,0.15,0.12,0.07
"EV","M","TC",0.63,0.06,0.08,0.15,0.16
"EV","M","TC",1.18,0.05,0.33,0.51,0.07
"EV","M","TC",1.56,0.086,0.13,1,0.32
"EV","M","TC",1.2,0.08,0.13,0.19,0.22
"EV","M","TC",2.3,0.09,0.2,1,1
"EV","M","TC",16.7,0.07,0.05,0.04,1
"EV","M","TC",3.8,0.11,1,1,0.76
"EV","M","TC",2,0.17,0.54,1,0.91
"EV","M","TC",1.75,0.18,0.4,0.25,0.81
"EV","M","TC",0.93,0.032,1,0.98,0.75
"EV","M","TC",2.7,0.31,1,0.33,0.52
"EV","M","TC",0.47,0.21,1,1,0.63
"EV","M","TC",0.71,0.11,0.73,1,1
"EV","M","TC",1.77,0.12,0.19,1,0.58
"EV","M","TC",2,0.05,0.27,0.07,0.23
"EV","M","TC",2.8,0.23,0.22,0.81,0.31
"EV","M","TC",0.31,0.09,0.04,0.28,0.37
"EV","M","TC",0.39,0.65,0.77,0.86,0.96
"EV","M","TC",0.95,0.18,0.11,0.1,0.53
"EV","M","TC",1.55,0.035,0.31,0.2,0.29
"EV","M","TC",5,0.03,0.15,0.05,0.8
"EV","M","TC",3,0.16,0.25,1,0.6
"EV","M","TC",1,0.29,0.4,0.62,0.33
"EV","M","TC",0.3,0.19,0.29,0.35,0.2
"EV","M","TC",1.5,0.002,0.5,1,1
"EV","M","TC",1.3,0.03,0.13,0.12,0.13
"EV","M","TC",0.6,0.13,0.15,1,0.2
"EV","M","TC",0.75,0.05,0.1,0.27,0.75
"GR","F","TC",0.26,0.01,0.02,0.19,0.19
"GR","F","TC",0.85,0.05,0.16,0.18,0.46
"GR","F","TC",0.12,0.04,0.96,0.18,0.08
"GR","F","TC",4,0.08,0.01,0.02,0.3
"GR","F","TC",0.091,0.3,0.67,0.95,0.26
"GR","F","TC",6,0.3,0.44,0.26,0.25
"GR","F","TC",1.56,0.15,0.05,0.35,0.21
"GR","F","TC",0,0,0.44,0.44,0.99
