SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jul 25 10:38:40 HST 2007
User: guest
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4E01242
Integration Time (usec): 100000 (USB4E01242)
Spectra Averaged: 1 (USB4E01242)
Boxcar Smoothing: 10 (USB4E01242)
Correct for Electrical Dark: No (USB4E01242)
Strobe/Lamp Enabled: No (USB4E01242)
Correct for Detector Non-linearity: No (USB4E01242)
Correct for Stray Light: No (USB4E01242)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<	
281.33	0
281.55	0
281.76	0
281.98	0
282.19	0
282.4	0
282.62	0
282.83	0
283.04	0
283.26	0
283.47	0
283.68	0
283.9	0
284.11	0
284.32	0
284.54	0
284.75	0
284.96	0
285.18	0
285.39	0
285.6	0
285.82	0
286.03	0
286.24	0
286.46	0
286.67	0
286.88	0
287.1	0
287.31	0
287.52	0
287.74	0
287.95	0
288.16	0
288.38	0
288.59	0
288.8	0
289.02	0
289.23	0
289.44	0
289.66	0
289.87	0
290.08	0
290.3	0
290.51	0
290.72	0
290.94	0
291.15	0
291.36	0
291.57	0
291.79	0
292	0
292.21	0
292.43	0
292.64	0
292.85	0
293.07	0
293.28	0
293.49	0
293.7	0
293.92	0
294.13	0
294.34	0
294.56	0
294.77	0
294.98	0
295.2	0
295.41	0
295.62	0
295.83	0
296.05	0
296.26	0
296.47	0
296.69	0
296.9	0
297.11	0
297.32	0
297.54	0
297.75	0
297.96	0
298.17	0
298.39	0
298.6	0
298.81	0
299.03	0
299.24	0
299.45	0
299.66	0
299.88	0
300.09	-0.015888
300.3	-0.020017
300.51	-0.010064
300.73	-0.020203
300.94	-0.015621
301.15	-0.012253
301.36	-0.021392
301.58	-0.017838
301.79	-0.0023045
302	-0.015477
302.21	-0.017268
302.43	-0.0090743
302.64	-0.0179
302.85	-0.0094501
303.06	-0.020932
303.28	-0.010716
303.49	-0.018263
303.7	-0.0049768
303.91	-0.016134
304.13	-0.018942
304.34	-0.013989
304.55	-0.0043602
304.76	-0.020768
304.98	-0.016994
305.19	-0.0071097
305.4	-0.019564
305.61	-0.0099028
305.82	-0.016321
306.04	-0.0083442
306.25	-0.019832
306.46	-0.0058335
306.67	-0.017311
306.89	-0.01537
307.1	-0.0087323
307.31	-0.0099827
307.52	-0.012923
307.74	-0.0046645
307.95	-0.0046826
308.16	-0.02139
308.37	-0.010396
308.58	-0.01276
308.8	-0.0062203
309.01	-0.0092199
309.22	-0.020403
309.43	-0.01602
309.64	-0.0076336
309.86	-0.0011537
310.07	-0.010523
310.28	-0.0072887
310.49	-0.0062047
310.7	-0.015352
310.92	-0.0055093
311.13	-0.011196
311.34	-0.0091133
311.55	-0.0078871
311.76	-0.0095223
311.98	0.0020115
312.19	-0.010444
312.4	-0.016181
312.61	-0.013771
312.82	-0.0084732
313.04	-0.016913
313.25	-0.0080996
313.46	-0.015047
313.67	-0.0144
313.88	-0.01216
314.1	-0.015419
314.31	-0.015369
314.52	-0.015533
314.73	-0.013445
314.94	-0.0063008
315.16	-0.0044635
315.37	0.0029026
315.58	-0.012983
315.79	-0.0050633
316	-0.0021313
316.21	0.0027588
316.43	-0.013815
316.64	-0.0081984
316.85	-0.010566
317.06	-0.0015961
317.27	0.0035159
317.48	-0.0060686
317.7	-0.0035772
317.91	-0.0054437
318.12	0.0036333
318.33	-0.0074708
318.54	-0.004584
318.75	-0.001755
318.97	0.0063663
319.18	-0.0014569
319.39	-0.0038914
319.6	-0.0032228
319.81	0.0024247
320.02	-0.0059672
320.24	-0.0063536
320.45	-0.0015004
320.66	-0.012076
320.87	-0.0039432
321.08	0.003279
321.29	0.0026312
321.5	-0.0056381
321.72	-0.0071867
321.93	0.0072589
322.14	-0.0018476
322.35	0.0077108
322.56	0.0085911
322.77	0.011645
322.98	0.0011884
323.2	0.010699
323.41	-0.003761
323.62	-0.0048802
323.83	0.0036041
324.04	-0.0037878
324.25	-0.0038563
324.46	0.0018524
324.67	0.0045111
324.89	0.001346
325.1	-0.00067549
325.31	0.012247
325.52	0.0063048
325.73	-0.0010915
325.94	0.0018154
326.15	-0.0072581
326.36	0.0097598
326.58	0.013127
326.79	0.011025
327	-0.010528
327.21	0.0092076
327.42	0.0072686
327.63	0.00735
327.84	0.0040022
328.05	0.012996
328.26	-0.0060986
328.48	0.00689
328.69	0.011587
328.9	0.0054217
329.11	0.0051196
329.32	0.0057218
329.53	-0.00039145
329.74	0.0047796
329.95	0.012324
330.16	0.0084051
330.37	0.0030955
330.59	0.021674
330.8	0.010471
331.01	0.011623
331.22	0.010609
331.43	0.0019901
331.64	0.0013042
331.85	0.017802
332.06	0.015229
332.27	0.0020147
332.48	0.013184
332.69	0.018202
332.91	0.011197
333.12	0.0098143
333.33	0.024673
333.54	0.003819
333.75	-0.00032206
333.96	0.0043982
334.17	0.0020956
334.38	0.0041355
334.59	0.011916
334.8	0.013702
335.01	0.011676
335.22	0.0065823
335.43	0.0050069
335.64	0.0076267
335.86	0.011502
336.07	0.011072
336.28	-0.0013626
336.49	0.013004
336.7	0.0037598
336.91	0.0049703
337.12	0.0024438
337.33	0.018238
337.54	0.0079458
337.75	0.0050354
337.96	0.015399
338.17	0.014285
338.38	0.0031198
338.59	0.017063
338.8	0.00062833
339.01	0.01817
339.22	0.016102
339.43	0.017526
339.65	0.010702
339.86	0.0050112
340.07	0.0046201
340.28	0.013096
340.49	0.012352
340.7	0.014853
340.91	0.0051267
341.12	0.0013726
341.33	0.011014
341.54	0.015449
341.75	0.0065523
341.96	0.0097399
342.17	0.013635
342.38	0.0085004
342.59	0.011802
342.8	0.0039115
