BioWare 3.0 Export
Device:	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Voltage Custom
Samples (#):	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	17	17	17	17	0
Contact period end (sample #):	19	19	19	19	7999
Contact period start time (s):	0.016983	0.016983	0.016983	0.016983	0.000000
Contact period end time (s):	0.018981	0.018981	0.018981	0.018981	7.991009
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux
	N	N	N	N	V
0.090909	8.687419	-4.942512	-5.013301	11.181809	4.795453
0.091908	7.695583	-3.576829	-4.441087	9.578045	4.795605
0.092907	5.143511	-3.019875	-3.449251	6.890043	4.795453
0.093906	7.325551	-4.465667	-3.266143	9.180064	4.795605
0.094905	8.317388	-3.946861	-3.601841	9.885844	4.796063
0.095904	2.732586	-3.256390	-3.479769	5.493623	4.795910
0.096903	1.763638	-4.240597	-3.136441	5.561505	4.795605
0.097902	4.826886	-4.370298	-2.915185	7.134188	4.795758
0.098901	3.037766	-2.813878	-3.250884	5.264426	4.795758
0.099900	0.100404	-1.596971	-4.898858	5.153563	4.795605
0.100899	0.733654	-0.971351	-7.004603	7.109588	4.795605
0.101898	1.317311	-0.055810	-8.652577	8.752458	4.795758
0.102897	-0.155184	0.783436	-9.598637	9.631806	4.795300
0.103896	-0.948653	0.691882	-10.147962	10.215663	4.795758
0.104895	-0.384070	0.138743	-9.812263	9.820757	4.795758
0.105894	-0.567178	-0.116846	-9.148496	9.166805	4.795605
0.106893	-1.520867	-0.376249	-8.820427	8.958489	4.795758
0.107892	-1.410239	-0.582246	-8.683096	8.816118	4.795300
0.108891	-0.628214	-0.360990	-8.858574	8.888155	4.795300
0.109890	-0.410773	0.039559	-8.820427	8.830075	4.795453
0.110889	-0.284886	0.371443	-8.660207	8.672849	4.795605
0.111888	0.092775	0.558366	-8.293991	8.313282	4.795300
0.112887	0.306401	0.337110	-8.278731	8.291256	4.795147
0.113886	-0.063630	-0.044366	-8.408433	8.408791	4.795147
0.114885	-0.441291	-0.319028	-8.675466	8.692539	4.795453
0.115884	-0.708324	-0.460174	-9.056942	9.096245	4.795147
0.116883	-0.914321	-0.525025	-9.179014	9.239368	4.795300
0.117882	-1.005875	-0.120661	-9.095089	9.151338	4.795147
0.118881	-0.941024	0.241741	-8.995906	9.048220	4.795300
0.119880	-0.593881	0.386702	-8.698355	8.727176	4.795300
0.120879	-0.231479	0.329480	-8.545764	8.555246	4.795147
0.121878	-0.128481	0.070077	-8.591541	8.592788	4.795147
0.122877	-0.086519	-0.223659	-8.797538	8.800806	4.795453
0.123876	-0.212406	-0.486877	-8.927240	8.943029	4.795147
0.124875	-0.513771	-0.597505	-8.858574	8.893554	4.794995
0.125874	-0.746471	-0.444915	-8.942499	8.984623	4.794995
0.126873	-0.742657	-0.086328	-8.873833	8.905274	4.794995
0.127872	-0.574807	0.188334	-8.995905	9.016218	4.791790
0.128871	-0.616770	0.363813	-9.056942	9.085205	4.793927
0.129870	-0.651102	0.394331	-9.018794	9.050860	4.794842
0.130869	-0.506142	0.138743	-8.889092	8.904571	0.022431
0.131868	-0.460365	-0.158808	-8.759391	8.772917	0.013123
0.132867	-0.483253	-0.360990	-8.690725	8.711633	0.005951
0.133866	-0.422217	-0.444915	-8.644948	8.666680	0.005798
0.134865	-0.406958	-0.235103	-8.393174	8.406323	0.038148
0.135864	-0.406958	0.112039	-8.477099	8.487601	0.004120
0.136863	-0.532845	0.371443	-8.545764	8.570413	0.002594
0.137862	-0.483253	0.417220	-8.660207	8.683708	0.000458
0.138861	-0.448920	0.237926	-8.850945	8.865515	0.001068
0.139860	-0.487068	-0.097772	-9.072201	9.085792	0.001068
0.140859	-0.532845	-0.292325	-8.995906	9.016412	-0.000153
0.141858	-0.387884	-0.395323	-8.927240	8.944403	0.040589
0.142857	-0.277256	-0.357176	-8.866204	8.877726	0.001221
0.143856	-0.345922	-0.097772	-8.698355	8.705779	0.000610
0.144855	-0.387884	0.127298	-8.637318	8.646961	0.000763
0.145854	-0.422217	0.237926	-8.721243	8.734699	0.003662
0.146853	-0.540475	0.218853	-8.675466	8.695040	0.005646
0.147852	-0.548104	0.100595	-8.599171	8.617208	0.002136
0.148851	-0.509957	-0.174067	-8.751761	8.768334	0.028687
0.149850	-0.487068	-0.334287	-8.919610	8.939152	0.005035
0.150849	-0.399329	-0.299954	-9.041683	9.055466	0.005035
0.151848	-0.376440	-0.181697	-9.018794	9.028475	0.022583
0.152847	-0.323033	0.051003	-8.889092	8.895106	0.003510
0.153846	-0.361181	0.257000	-8.614430	8.625828	0.002594
0.154845	-0.559548	0.230297	-8.393174	8.414957	-0.000610
0.155844	-0.677806	0.142557	-8.339768	8.368480	0.001678
0.156843	-0.700694	-0.082513	-8.660207	8.688899	0.001373
0.157842	-0.616770	-0.303769	-8.927240	8.953675	0.000000
0.158841	-0.536660	-0.334287	-9.194273	9.215986	0.038453
0.159840	-0.422217	-0.223659	-9.171384	9.183822	0.001831
0.160839	-0.395514	-0.120661	-8.881463	8.891084	0.000610
0.161838	-0.479438	-0.025292	-8.606800	8.620180	0.001373
0.162837	-0.521401	0.066262	-8.446581	8.462918	0.013581
0.163836	-0.555734	0.119669	-8.660207	8.678845	0.004883
0.164835	-0.643473	0.104410	-8.782279	8.806440	0.002136
0.165834	-0.658732	-0.029107	-8.774650	8.799389	0.041810
0.166833	-0.620584	-0.116846	-8.637318	8.660372	0.004120
0.167832	-0.490883	-0.139734	-8.644948	8.660001	0.003815
0.168831	-0.441291	-0.143549	-8.774650	8.786912	0.003662
0.169830	-0.452735	-0.093957	-8.789909	8.802062	0.002747
0.170829	-0.418402	-0.074884	-8.751761	8.762077	0.002136
0.171828	-0.403143	-0.002403	-8.774650	8.783906	-0.000305
0.172827	-0.487068	0.062448	-8.705984	8.719822	0.017853
0.173826	-0.578622	0.123484	-8.652578	8.672782	0.001373
0.174825	-0.624399	0.070077	-8.736502	8.759067	0.000305
0.175824	-0.555734	-0.002403	-8.850945	8.868375	0.026856
0.176823	-0.509957	-0.067254	-8.881463	8.896345	0.001221
0.177822	-0.475624	-0.116846	-8.751761	8.765455	0.001221
0.178821	-0.330663	-0.128290	-8.705984	8.713206	0.001221
0.179820	-0.311589	-0.051995	-8.736502	8.742211	0.010224
0.180819	-0.342107	-0.021477	-8.759391	8.766095	0.003967
0.181818	-0.052186	-0.818761	-6.485796	6.537480	0.003662
0.182817	-0.971542	-0.025292	-9.117978	9.169627	0.043336
0.183816	-2.119783	1.000877	-3.044887	3.842730	0.006256
0.184815	-1.932860	1.691348	-6.165357	6.678939	0.004578
0.185814	-1.124132	1.863012	-6.951196	7.283792	0.001373
0.186813	0.283513	1.164912	-7.393708	7.490281	0.002594
0.187812	1.389792	1.203059	-6.783347	7.027992	0.002136
0.188811	3.873198	0.462997	-4.639455	6.061400	0.000153
0.189810	6.917372	-0.792058	-4.860710	8.491401	0.033112
0.190809	7.901579	-3.622606	-0.145673	8.693644	0.002136
0.191808	7.169146	-2.291257	-4.059612	8.551431	0.001221
0.192807	8.229648	-2.253109	-2.861779	8.999633	0.008850
0.193806	6.451972	-4.648776	-2.281936	8.273227	0.001831
0.194805	5.002365	-2.073815	-3.914651	6.681980	0.002594
0.195804	7.047074	0.234112	-1.290099	7.168014	0.001678
0.196803	6.329900	-0.875982	-0.160932	6.392251	0.019379
0.197802	4.540780	-0.994240	2.715394	5.383360	0.004425
0.198801	6.600748	-0.288510	8.139977	10.483908	0.003815
0.199800	4.159304	-0.917945	9.459881	10.374574	0.036316
0.200799	1.141833	-0.971351	5.103431	5.319052	0.005646
0.201798	5.952239	-2.436217	2.021108	6.741601	0.003357
0.202797	5.662318	-2.676547	0.830905	6.317923	0.001373
0.203796	2.461738	-0.441100	2.967168	3.880568	0.002899
0.204795	4.891737	0.829213	5.454388	7.373401	0.002594
0.205794	5.555505	0.958915	5.675644	7.999755	0.000763
0.206793	3.636683	2.049935	5.706162	7.070218	0.041199
0.207792	4.193637	3.144770	5.904529	7.895545	0.001831
0.208791	3.640498	2.934958	5.576460	7.277645	0.001526
0.209790	1.344015	3.114252	4.699067	5.795357	-0.000458
0.210789	1.260090	3.926795	3.173164	5.203510	0.001221
0.211788	1.817044	3.823797	2.661987	5.000925	0.003662
0.212787	2.209964	3.648318	3.508863	5.523249	0.002747
0.213786	3.980011	4.025979	4.966100	7.530679	0.032349
0.214785	5.326619	4.277752	5.065283	8.504654	0.004120
0.215784	5.429618	4.941520	4.576994	8.651488	0.003662
0.216783	4.998550	5.467956	4.409145	8.621173	0.019379
0.217782	4.216526	4.949149	4.988988	8.195314	0.006104
0.218781	3.613794	4.437972	5.965566	8.266987	0.003967
0.219780	3.693904	4.518082	6.270746	8.566227	0.001678
0.220779	4.193637	4.479934	5.973195	8.563613	0.004578
0.221778	5.174029	4.376936	5.645126	8.820181	0.001984
0.222777	6.360418	4.525711	5.668015	9.646936	0.000916
0.223776	6.955520	4.567674	5.843493	10.168053	0.037079
0.224775	7.153887	4.506638	6.087638	10.418599	0.002136
0.225774	7.176776	4.235790	6.095268	10.324743	0.000763
0.226773	6.867780	3.762760	6.476743	10.162331	0.000000
0.227772	6.768597	3.251583	7.171028	10.383176	0.001831
0.228771	7.146258	2.870108	7.750872	10.926231	0.004425
0.229770	7.546807	2.694629	7.399913	10.907522	0.004273
0.230769	8.168612	2.942588	6.881107	11.078569	0.043488
0.231768	8.881971	3.316434	6.255487	11.358665	0.003967
0.232767	9.183337	3.400359	5.965565	11.466651	0.004578
0.233766	9.145190	3.194362	5.988454	11.388591	0.003662
0.234765	8.996414	2.938773	6.186821	11.307016	0.004883
0.235764	8.927748	2.568742	6.415706	11.290014	0.002899
0.236763	8.897230	2.095712	6.598815	11.273734	0.002136
0.237762	9.095598	1.912604	6.400448	11.285109	0.022431
0.238761	9.526665	2.069009	5.805346	11.346374	0.001678
0.239760	9.889067	2.221599	5.149208	11.368530	0.001068
0.240759	10.060731	2.511520	5.057654	11.537153	0.023804
0.241758	10.293431	2.534409	5.286539	11.845904	0.001678
0.242757	10.117952	2.183452	5.576461	11.757437	0.001373
0.243756	9.458000	2.217784	5.668015	11.247165	0.000458
0.244755	9.114672	2.072824	5.584090	10.888338	0.002899
0.245754	10.510872	2.103342	5.019506	11.836297	0.004425
0.246753	10.362096	2.328412	4.195519	11.419148	0.004883
0.247752	9.812772	2.423781	3.684342	10.758233	0.042420
0.248751	10.770275	2.278820	3.150276	11.450593	0.004273
0.249750	11.224231	2.332227	3.020574	11.855232	0.005035
0.250749	10.888533	2.156748	3.234201	11.561650	0.003204
0.251748	10.819867	1.580720	3.554640	11.497985	0.004120
0.252747	10.697795	1.271725	3.272348	11.259146	0.003357
0.253746	10.659647	1.286984	2.799318	11.095972	0.001678
0.254745	10.461280	1.431945	1.845630	10.718918	0.036774
0.255744	10.541390	1.737125	1.067419	10.736754	0.001984
0.256743	10.941939	1.859197	0.533354	11.111576	0.001221
0.257742	10.884718	1.874456	0.670685	11.065283	0.006867
0.258741	10.789350	2.118601	0.731721	11.019707	0.001831
0.259740	10.625315	1.599794	0.197655	10.746894	0.001526
0.260739	10.701610	0.760548	-0.061748	10.728779	0.000305
0.261738	10.640574	0.745289	0.022176	10.666665	0.014038
0.262737	10.175174	0.981804	0.045065	10.222531	0.004273
0.263736	9.999695	0.882620	-0.008342	10.038575	0.004730
0.264735	10.034028	1.088617	-0.283004	10.096875	0.032044
0.265734	10.079804	1.344205	-0.359299	10.175384	0.004883
0.266733	9.946288	1.420500	-0.405076	10.055374	0.004425
0.267732	9.770810	1.367094	-0.229597	9.868656	0.003510
0.268731	9.580072	1.302243	-0.351670	9.674569	0.003204
0.269730	9.053635	1.096246	-0.481371	9.132458	0.003357
0.270729	9.023117	0.829213	-0.916253	9.107346	0.001678
0.271728	9.103228	0.646105	-1.145139	9.197693	0.042115
0.272727	9.248188	0.691882	-1.305358	9.365449	0.001984
0.273726	9.339742	0.760548	-1.511355	9.491754	0.001068
0.274725	9.316854	0.836843	-1.724982	9.512078	-0.001221
0.275724	8.897230	0.955100	-1.885201	9.144775	0.000916
0.276723	8.469978	1.161097	-1.969126	8.773035	0.001373
0.277722	8.225834	1.126764	-2.053050	8.552716	0.000610
0.278721	7.771878	1.111505	-2.259047	8.169506	0.033265
0.279720	7.447623	1.168727	-2.335342	7.892201	0.004120
0.280719	7.455253	1.080987	-2.411637	7.909824	0.004120
0.281718	7.577325	0.981804	-2.739707	8.117006	0.016022
0.282717	7.573510	1.061913	-2.861779	8.165506	0.005035
0.283716	7.523919	1.149653	-2.869408	8.134160	0.004273
0.284715	7.638361	1.042840	-3.052517	8.291558	0.003204
0.285714	7.241627	0.997063	-3.098293	7.939440	0.007019
0.286713	6.909743	1.096246	-3.189848	7.689047	0.002289
0.287712	6.814374	1.058099	-3.350067	7.666695	0.001068
0.288711	6.490120	0.939841	-3.662877	7.511433	0.036469
0.289710	6.371862	0.997063	-3.845986	7.509086	0.001526
0.290709	6.482491	1.035210	-4.120648	7.750747	0.000763
0.291708	6.368048	1.107691	-4.463976	7.855323	-0.000763
0.292707	6.093385	1.199245	-4.753897	7.820938	0.000305
0.293706	5.868315	1.248837	-4.998042	7.808786	0.001678
0.294705	5.643244	1.210689	-5.120114	7.715409	0.001068
0.295704	5.292287	1.149653	-5.249816	7.542583	0.043488
0.296703	5.105363	1.134394	-5.486330	7.579671	0.005341
0.297702	4.979477	1.161097	-5.860177	7.777211	0.003510
0.298701	4.781109	1.153468	-6.172986	7.892734	0.001678
0.299700	4.643778	1.138209	-6.356095	7.953624	0.003967
0.300699	4.456855	1.195430	-6.386613	7.879177	0.005035
0.301698	3.934234	1.164912	-6.714682	7.869064	0.002441
0.302697	3.434501	1.065728	-6.928308	7.805961	0.026093
0.303696	3.377279	1.023766	-7.096157	7.925248	0.003204
0.304695	3.297170	0.985618	-7.035121	7.831711	0.001678
0.305694	3.068284	0.794881	-7.035121	7.716160	0.022431
0.306693	3.125505	0.665179	-7.180082	7.859060	0.001678
0.307692	3.224689	0.627031	-7.424226	8.118554	0.001221
0.308691	3.091173	0.611772	-7.843849	8.453140	-0.001068
0.309690	2.923323	0.531662	-8.126141	8.652321	0.000458
0.310689	2.801251	0.428664	-8.492358	8.952704	0.001984
0.311688	2.469368	0.329480	-8.858574	9.202210	0.001678
0.312687	2.068818	0.237926	-9.102719	9.337885	0.038300
0.313686	1.794156	0.142557	-8.881463	9.061992	0.005493
0.314685	1.656825	0.001411	-8.995905	9.147206	0.003662
0.315684	1.462272	-0.074884	-9.209532	9.325198	0.001526
0.316683	1.225757	-0.082513	-9.613896	9.692073	0.003967
0.317682	1.004501	-0.105402	-10.094555	10.144958	0.005341
0.318681	0.668803	-0.086328	-10.285293	10.307376	0.002289
0.319680	0.317845	-0.074884	-9.514712	9.520314	0.040131
0.320679	-0.086519	-0.055810	-8.904351	8.904947	0.002441
0.321678	-0.258183	-0.051995	-8.499987	8.504066	0.001373
0.322677	-0.300145	-0.116846	-8.705984	8.711940	0.003815
0.323676	-0.792248	-0.200771	-8.683095	8.721474	0.000916
0.324675	-0.803693	-0.017662	-8.942499	8.978559	0.001221
0.325674	-0.380255	0.108225	-9.064571	9.073189	-0.001678
0.326673	-0.521401	-0.071069	-9.102719	9.117916	0.015717
0.327672	-0.673991	-0.067254	-9.125607	9.150710	0.001526
0.328671	-0.391699	0.035744	-8.942499	8.951145	0.003204
0.329670	-0.361181	-0.128290	-8.622059	8.630574	0.001984
0.330669	-0.536660	-0.158808	-8.461840	8.480327	0.005493
0.331668	-0.391699	0.001411	-8.736502	8.745279	0.002594
0.332667	-0.345922	0.058633	-8.927240	8.934132	0.002441
0.333666	-0.586252	0.051003	-8.881463	8.900937	0.003815
0.334665	-0.666361	0.096780	-8.683095	8.709165	0.004730
0.335664	-0.529030	-0.006218	-8.652578	8.668737	0.002136
0.336663	-0.517586	-0.113031	-8.469469	8.486023	0.043030
0.337662	-0.502327	-0.189326	-8.309249	8.326572	0.002289
0.338661	-0.418402	-0.139734	-8.232954	8.244763	0.001221
0.339660	-0.414588	-0.071069	-8.049846	8.060829	-0.000763
0.340659	-0.445106	0.031930	-8.309250	8.321224	0.000763
0.341658	-0.475624	0.203593	-8.561023	8.576642	0.000763
0.342657	-0.475624	0.234112	-8.767020	8.783033	-0.001526
0.343656	-0.536660	0.100595	-8.637318	8.654559	0.034485
0.344655	-0.529030	-0.071069	-8.408433	8.425359	0.002289
0.345654	-0.540475	-0.174067	-8.332138	8.351463	0.003052
0.346653	-0.513771	-0.254177	-8.408433	8.427948	0.002594
0.347652	-0.387884	-0.162623	-8.400804	8.411326	0.004578
0.348651	-0.353552	0.012856	-8.660207	8.667430	0.003510
0.349650	-0.464179	0.157816	-8.713614	8.727395	0.002289
0.350649	-0.498512	0.184520	-8.629689	8.646045	0.011749
0.351648	-0.448920	0.104410	-8.667837	8.680082	0.004730
0.352647	-0.483253	-0.048180	-8.744132	8.757608	0.002441
0.353646	-0.490883	-0.231289	-8.805168	8.821873	0.034791
0.354645	-0.532845	-0.338102	-8.744131	8.766874	0.002747
0.355644	-0.532845	-0.246548	-8.774650	8.794270	0.000916
0.356643	-0.540475	-0.086328	-8.744131	8.761244	-0.000916
0.357642	-0.536660	-0.006218	-8.767020	8.783432	0.000610
0.358641	-0.509957	0.104410	-8.835686	8.851005	0.001068
0.359640	-0.479438	0.089151	-8.667837	8.681544	-0.000610
0.360639	-0.441291	-0.036736	-8.683096	8.694380	0.041047
0.361638	-0.418402	-0.147364	-8.545764	8.557270	0.002289
0.362637	-0.418402	-0.284695	-8.530505	8.545504	0.003815
0.363636	-0.502327	-0.227474	-8.629689	8.647289	0.003815
0.364635	-0.517586	-0.051995	-8.782279	8.797672	0.002899
0.365634	-0.540475	0.081521	-8.950128	8.966803	0.004120
0.366633	-0.540475	0.192149	-8.805168	8.823832	0.002747
0.367632	-0.529030	0.211223	-8.499987	8.519054	0.031586
0.368631	-0.574807	0.089151	-8.416063	8.436140	0.004273
0.369630	-0.593881	-0.132105	-8.377915	8.399977	0.002289
0.370629	-0.494697	-0.250362	-8.477099	8.495211	0.019989
0.371628	-0.471809	-0.250362	-8.599171	8.615743	0.001984
0.372627	-0.471809	-0.139734	-8.713614	8.727496	0.001526
0.373626	-0.483253	0.028115	-8.797538	8.810846	-0.001068
0.374625	-0.479438	0.131113	-8.767020	8.781099	0.001984
0.375624	-0.479438	0.176890	-8.660207	8.675272	0.000610
0.376623	-0.490883	0.134928	-8.538135	8.553299	0.000458
0.377622	-0.544289	0.005226	-8.438951	8.456487	0.038300
0.378621	-0.597696	-0.162623	-8.599171	8.621452	0.003510
0.379620	-0.616770	-0.280880	-8.850945	8.876853	0.003662
0.380619	-0.570993	-0.288510	-9.079830	9.102340	0.002747
0.381618	-0.498512	-0.135920	-9.018794	9.033584	0.002747
0.382617	-0.372625	-0.002403	-8.896722	8.904522	0.003510
0.383616	-0.315404	0.119669	-8.805168	8.811628	0.002441
0.384615	-0.315404	0.119669	-9.232420	9.238581	0.042115
0.385614	-2.802625	1.668460	-5.081966	6.038613	0.005035
0.386613	-6.525826	1.054284	1.502301	6.778999	0.002441
0.387612	-0.899062	-2.043297	-3.617100	4.250505	0.002594
0.388611	-1.356832	-0.509766	-8.942499	9.059202	0.001373
0.389610	-3.359579	0.478256	-9.522342	10.108931	0.000916
0.390609	-0.979171	-0.616579	-10.147962	10.213720	-0.001068
0.391608	1.202869	-0.978981	-8.538135	8.677848	0.019074
0.392607	0.729839	0.302777	-9.247680	9.281375	0.000153
0.393606	-0.555734	0.417220	-8.469469	8.497930	0.000458
0.394605	-1.402609	-0.330472	-7.881997	8.012640	0.027161
0.395604	-1.818418	0.287518	-5.539737	5.837636	0.004273
0.396603	-2.798810	0.470626	-5.547367	6.231220	0.003967
0.397602	-3.203174	-0.063439	-7.248747	7.925193	0.002289
0.398601	-0.937209	-0.341917	-9.659673	9.711053	0.003204
0.399600	0.466621	0.005226	-10.071666	10.082471	0.004120
0.400599	0.062257	-0.231289	-8.164289	8.167802	0.004273
0.401598	0.920577	-0.429656	-7.538669	7.606813	0.043946
0.402597	1.138018	-0.093957	-7.790443	7.873685	0.003357
0.403596	-1.063096	0.348554	-8.515246	8.588427	0.002289
0.404595	-2.112154	0.386702	-8.225325	8.500982	-0.000153
0.405594	-2.302892	0.154002	-7.485262	7.833019	0.001526
0.406593	-2.333410	0.062448	-7.508151	7.862635	0.001526
0.407592	-1.078355	0.070077	-8.721243	8.787937	-0.000305
0.408591	-0.082704	0.009041	-9.613896	9.614256	0.034943
0.409590	0.462806	-0.242733	-9.140866	9.155793	0.000610
0.410589	0.832837	-0.303769	-7.950663	7.999933	0.001068
0.411588	0.302586	-0.231289	-7.569187	7.578763	0.008850
0.412587	-0.902876	0.043374	-8.278731	8.327933	0.003815
0.413586	-1.654383	0.230297	-8.599171	8.759895	0.005493
0.414585	-1.841306	0.195964	-8.522876	8.721710	0.002899
0.415584	-1.742123	0.016670	-8.095623	8.280965	0.013733
0.416583	-0.971542	-0.048180	-8.210066	8.267490	0.004578
0.417582	-0.071260	-0.051995	-8.606800	8.607253	0.004578
