BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	17	17	17	17	0	17	17	17	17
Contact period end (sample #):	19	19	19	19	7999	19	19	19	19
Contact period start time (s):	0.016983	0.016983	0.016983	0.016983	0.000000	0.016983	0.016983	0.016983	0.016983
Contact period end time (s):	0.018981	0.018981	0.018981	0.018981	7.991009	0.018981	0.018981	0.018981	0.018981
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.049950	11.828418	-2.650793	4.929894	13.085949	4.797132	11.254750	-3.618791	6.171562	13.336162
0.050949	11.406818	-2.987298	4.881409	12.761960	4.796673	9.793698	-3.542496	6.453854	12.252266
0.051948	10.978165	-3.323145	4.789110	12.429761	4.796368	10.056916	-2.615511	5.416241	11.718282
0.052947	10.557155	-3.653822	4.650672	12.100937	4.796979	9.446556	-3.882010	4.165001	11.029717
0.053946	10.155053	-3.975257	4.467355	11.784949	4.796521	8.653086	-4.561036	4.050558	10.587066
0.054945	9.778794	-4.283856	4.243212	11.488302	4.796521	9.171893	-3.832418	4.149742	10.771787
0.055944	9.431216	-4.576493	3.984245	11.214559	4.796521	10.217136	-4.225338	4.500699	11.937322
0.056943	9.112194	-4.850449	3.697690	10.965029	4.796673	10.148470	-5.022622	3.516492	11.856808
0.057942	8.820152	-5.103417	3.391378	10.739711	4.796673	8.916305	-4.999733	2.585692	10.544364
0.058941	8.553375	-5.333627	3.073119	10.538115	4.796673	9.309224	-5.522354	3.188423	11.283798
0.059940	8.310765	-5.540042	2.750202	10.359754	4.796521	9.152819	-5.865683	3.478345	11.413992
0.060939	8.092025	-5.722500	2.429055	10.204323	4.796063	7.386587	-5.838979	2.578063	9.762262
0.061938	7.897348	-5.881728	2.114878	10.071521	4.796368	6.738079	-6.041161	1.326823	9.146464
0.062937	7.726919	-6.019163	1.811172	9.960720	4.796826	7.573510	-6.067864	0.800387	9.737436
0.063936	7.580647	-6.136620	1.519321	9.870798	4.796826	8.149539	-5.819906	1.296305	10.097855
