"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"GR","M","TC",0.92,0.095,0.64,0.72,0.51
"GR","M","TC",0.22,0.43,1,0.28,1
"GR","M","TC",5.5,0.19,0.28,0.39,0.14
"GR","M","TC",0.11,0.003,0.02,0.33,0.13
"GR","M","TC",1.63,0.018,0.11,0.09,0.39
"GR","M","TC",0.65,0.029,0.12,0.39,0.37
"GR","M","TC",0.49,0.043,0.17,0.3,0.29
"GR","M","TC",2.61,0.013,0.08,0.36,0.31
"GR","M","TC",1.09,0.023,0.23,0.07,0.28
"GR","M","TC",0.47,0.047,0.13,1,0.44
"GR","M","TC",0.62,0.12,0.06,1,0.57
"GR","M","TC",2.43,0.051,0.13,0.47,0.04
"GR","M","TC",1.48,0.192,0.1,0.89,0.81
"GR","M","TC",1.15,0.5,0.13,0.26,0.67
"GR","M","TC",2.5,0.03,0.3,0.4,0.35
"GR","M","TC",1.35,0.032,0.26,0.22,0.2
"GR","M","TC",7,0.07,0.4,1,0.95
"GR","M","TC",2.25,0.025,0.07,0.15,0.05
"GR","M","TC",3.5,0.1,0.6,0.6,0.25
"GR","M","TC",1.11,0.009,0.12,0.14,0.33
"GR","M","TC",1.83,0.012,0.26,0.35,0.06
"GR","M","TC",3,0.19,0.4,0.8,0.9
"GR","M","TC",5.75,0.02,0.15,1,0.7
"GR","M","TC",7,0.03,0.05,0.8,0.65
"GR","M","TC",1.5,0.23,0.05,0.25,0.42
"GR","M","TC",0.9,0.065,0.06,0.58,0.64
"GR","M","TC",1.75,0.01,0.1,0.5,0.4
"GR","M","TC",7,0.08,0.05,0.05,0.1
"GR","M","TC",1.7,0.055,0.16,0.18,0.68
"GR","M","TC",7.5,0.18,0.05,0.25,0.3
"GR","M","TC",1.5,0.05,0.28,0.81,0.39
"LI","F","TG",0.42,0.13,0.18,0.13,0.13
"LI","F","TG",0.41,0.02,0.16,0.17,0.23
"LI","F","TG",0.47,0.04,0.07,0.26,0.56
"LI","F","TG",0.62,0.01,0.005,0.28,0.62
"LI","F","TG",0.68,0.01,0.005,0.04,0.15
"LI","F","TG",0.51,0.15,0.2,0.05,0.22
"LI","F","TG",0.32,0.04,0.23,0.12,0.14
"LI","F","TG",0,0,0.05,0.33,0.39
"LI","F","TG",0.06,0.09,0.49,0.2,0.23
"LI","F","TG",0.04,0.03,0.06,0.01,0.01
"LI","F","TG",0.32,0.3,0.32,0.32,0.58
"LI","F","TG",0.3,0.04,0.22,0.11,0.13
"LI","F","TG",0.07,0.05,0.39,0.06,0.09
"LI","F","TG",0.18,0.06,0.29,0.1,0.15
"LI","F","TG",0.87,0.02,0.05,0.6,0.13
"LI","F","TG",0.31,0.08,0.15,0.31,0.2
"LI","F","TG",0.11,0.06,0.08,0.17,0.3
"LI","F","TG",0,0,0.23,0.46,0.22
"LI","F","TG",0.33,0.22,0.53,0.65,0.81
"LI","F","TG",0.3,0.005,0.09,0.34,0.4
"LI","F","TG",0.28,0.03,0.23,0.1,0.52
"LI","F","TG",1.01,0.035,0.2,0.94,1
"LI","F","TG",1.18,0.09,0.2,0.09,0.19
"LI","F","TG",0.56,0.04,0.11,0.15,1
"LI","F","TG",0.6,0.13,0.06,0.12,0.31
"LI","F","TG",0.1,0.07,0.11,0.37,0.21
"LI","F","TG",0.61,0.06,0.71,0.69,0.44
"LI","F","TG",0.6,0.1,0.53,0.16,0.16
"LI","F","TG",0.62,0.145,0.15,0.28,0.48
"LI","F","TG",0.04,0.155,0.6,0.42,0.38
"LI","F","TG",0.34,0.11,0.24,0.14,0.33
"LI","F","TG",1.12,0.1,0.34,0.14,0.11
"LI","F","TG",0.58,0.03,0.16,0.19,0.53
"LI","F","TG",0.62,0.015,0.06,0.31,0.39
"LI","F","TG",0.22,0.02,0.08,0.28,0.5
"LI","F","TG",1.24,0.03,1,0.08,0.39
"LI","F","TG",0.23,0.027,0.08,0.22,0.12
"LI","F","TG",0.83,0.034,0.33,0.68,0.69
"LI","F","TG",0.39,0.017,0.2,0.24,0.37
"LI","F","TG",0.49,0.021,0.3,0.25,0.22
"LI","F","TG",0.18,0.064,0.51,0.5,0.49
