evermanni    f  53.0  3.6 94.0 . 25.0 40.0 14.0 27 12.0 10.0 y
evermanni    m  59.0  5.3 88.0 . 31.5 45.5 17.0 28 14.0 10.0 y
evermanni    f  50.0  3.0 84.0 . 23.5 38.5 13.0 24 10.0  8.5 y
evermanni    jm 43.5  2.1 62.0 r 22.0 37.0 13.0 26  9.5  8.0 .
cristatellus m  62.5  8.2120.5 . 32.0 54.0 18.5 20 15.0 15.0 .
evermanni    m  55.5  3.8106.0 . 28.5 45.0 15.0 27 12.5 11.0 y
evermanni    m  59.0  5.1111.0 . 31.0 48.0 16.0 27 13.5 10.0 .
evermanni    m  64.0  7.2122.0 . 31.0 49.0 17.0 25 13.5 13.5 y
evermanni    f  47.0  2.2 58.0 r 22.0 36.0 12.0 24   .    .  y
evermanni    f  50.0  3.0 39.0 r 24.0 39.0 13.0 26   .    .  y
pulchellus   m  46.5  2.0117.0 . 18.0 32.0 14.0 19  9.0  8.5 y
pulchellus   m  42.0  1.6107.0 . 17.5 32.0 13.0 19  8.0  8.0 y
pulchellus   f  35.0  1.1 87.0 . 13.5 25.0 10.0 17  9.0  8.0 y
pulchellus   f  34.0  0.9 88.0 . 14.0 26.0  9.0 16  7.5  6.5 y
pulchellus   f  40.0  1.2100.0 . 16.0 29.0 11.0 18  9.0  8.0 y
pulchellus   f  38.0  0.9 83.0 r 14.0 26.0 10.0 20  8.0  6.5 y
krugi        m  45.5  2.3   .  .   .    .    .   .   .    .  y
krugi        f  37.0  1.6   .  .   .    .    .   .   .    .  n
krugi        f  37.5  1.2 99.0 . 16.0 31.5 10.5 18  8.0  7.0 .
stratulus    f  41.0  3.8 38.0 r 19.5 29.0 10.5 20 10.0  8.0 y
cristatellus m    .   6.4   .  .   .    .    .   .   .    .  y
cristatellus m    .   9.0   .  .   .    .    .   .   .    .  y
cristatellus m    .   6.4   .  .   .    .    .   .   .    .  y
cristatellus m    .   6.8   .  .   .    .    .   .   .    .  n
cristatellus m    .   6.0   .  .   .    .    .   .   .    .  y
krugi        m    .   3.3   .  .   .    .    .   .   .    .  y
krugi        m    .   2.9   .  .   .    .    .   .   .    .  y
stratulus    m  43.0  1.8 75.0 . 21.0 34.0 13.0 20  9.0  9.0 y
krugi        m    .   2.6   .  .   .    .    .   .   .    .  y
cristatellus m    .   5.1   .  .   .    .    .   .   .    .  n
stratulus    f  39.5  1.6 63.0 . 18.5 28.0 11.0 21 10.0  8.0 .
cuvieri      m    .    .    .  .   .    .    .   .   .    .  .
