BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	512	512	512	512	0	512	512	512	512
Contact period end (sample #):	1005	1005	1005	1005	7999	1005	1005	1005	1005
Contact period start time (s):	0.511489	0.511489	0.511489	0.511489	0.000000	0.511489	0.511489	0.511489	0.511489
Contact period end time (s):	1.003996	1.003996	1.003996	1.003996	7.991009	1.003996	1.003996	1.003996	1.003996
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.049950	0.030259	0.061993	0.330428	0.337552	4.796521	0.058951	-0.003319	0.350626	0.355563
0.050949	0.035377	0.054562	0.312528	0.319222	4.796826	0.093284	-0.106317	0.190407	0.237192
0.051948	0.039658	0.048065	0.290831	0.297432	4.796673	0.139061	-0.133020	0.205666	0.281657
0.052947	0.042855	0.042733	0.266534	0.273318	4.796826	0.181023	-0.010948	0.121741	0.218426
0.053946	0.045025	0.038487	0.240729	0.247909	4.796673	0.131431	0.099680	0.228554	0.281864
0.054945	0.046505	0.035052	0.214381	0.222150	4.796673	0.043692	0.149271	0.266702	0.308741
0.055944	0.047800	0.032117	0.188371	0.196977	4.796826	-0.024974	0.179790	0.281961	0.335335
0.056943	0.049412	0.029472	0.163574	0.173397	4.796216	-0.097454	0.076791	0.198036	0.233693
0.057942	0.051669	0.027061	0.140909	0.152503	4.796673	-0.127972	0.027199	0.159889	0.206594
0.058941	0.054612	0.024943	0.121340	0.135381	4.796521	0.020803	-0.045281	0.091223	0.103946
0.059940	0.058002	0.023206	0.105840	0.122902	4.796826	0.127616	-0.068170	0.121741	0.189087
0.060939	0.061414	0.021875	0.095335	0.115494	4.796826	0.161949	-0.056725	0.137000	0.219578
0.061938	0.064378	0.020862	0.090641	0.113117	4.796521	0.142875	0.004311	0.022557	0.144709
0.062937	0.066490	0.019994	0.092396	0.115576	4.796216	0.078025	0.069162	0.091223	0.138538
0.063936	0.067467	0.019074	0.101000	0.122950	4.796368	-0.005900	0.095865	0.121741	0.155067
0.064935	0.067147	0.017967	0.116554	0.135707	4.796216	0.043692	0.065347	0.167518	0.185045
0.065934	0.065479	0.016661	0.138809	0.154380	4.796063	0.070395	0.015755	0.075964	0.104758
0.066933	0.062529	0.015275	0.167110	0.179078	4.796521	0.119987	0.042458	0.075964	0.148223
0.067932	0.058498	0.014038	0.200337	0.209175	4.796368	0.108543	0.004311	0.121741	0.163159
0.068931	0.053732	0.013236	0.236896	0.243274	4.796368	0.100913	-0.033837	0.114112	0.156044
0.069930	0.048706	0.013155	0.274767	0.279360	4.796216	0.066580	0.000496	0.182777	0.194527
0.070929	0.043955	0.014035	0.311649	0.315046	4.796673	0.043692	0.000496	0.320108	0.323077
0.071928	0.039980	0.016037	0.345189	0.347866	4.796521	-0.032603	0.038644	0.449810	0.452643
0.072927	0.037131	0.019230	0.373262	0.375597	4.796063	-0.055492	0.046273	0.594771	0.599143
0.073926	0.035515	0.023584	0.394236	0.396534	4.796063	-0.059307	0.019570	0.648177	0.651179
0.074925	0.034954	0.028948	0.407128	0.409650	4.796368	-0.044048	-0.052911	0.442181	0.447508
0.075924	0.035018	0.035038	0.411616	0.414586	4.796216	-0.005900	-0.003319	0.373515	0.373576
0.076923	0.035141	0.041426	0.407892	0.411494	4.796063	0.142875	0.011940	0.274331	0.309538
0.077922	0.034786	0.047578	0.396457	0.400814	4.796368	0.222985	0.031014	0.259072	0.343224
0.078921	0.033613	0.052926	0.377931	0.383096	4.796368	0.161949	0.099680	0.213295	0.285759
0.079920	0.031571	0.056959	0.352960	0.358918	4.796216	0.051321	0.130198	0.266702	0.301190
0.080919	0.028874	0.059326	0.322248	0.328934	4.796368	-0.013530	0.114939	0.411663	0.427621
0.081918	0.025897	0.059895	0.286689	0.294021	4.796063	-0.093639	0.099680	0.594771	0.610292
0.082917	0.023023	0.058767	0.247530	0.255450	4.795910	-0.093639	0.076791	0.487958	0.502760
0.083916	0.020536	0.056245	0.206447	0.214955	4.795758	-0.009715	0.046273	0.304849	0.308494
0.084915	0.018582	0.052759	0.165447	0.174647	4.795910	0.013174	0.027199	0.022557	0.037712
0.085914	0.017209	0.048780	0.126608	0.136767	4.795910	0.093284	0.004311	-0.107144	0.142128
0.086913	0.016442	0.044740	0.091765	0.103406	4.795758	0.100913	-0.010948	-0.107144	0.147591
0.087912	0.016360	0.040969	0.062258	0.076303	4.795910	0.104728	-0.003319	0.030187	0.109042
0.088911	0.017125	0.037682	0.038827	0.056751	4.795605	0.055136	0.031014	-0.007961	0.063759
0.089910	0.018940	0.034996	0.021653	0.045302	4.795910	-0.051677	0.088235	-0.007961	0.102564
0.090909	0.021951	0.032981	0.010491	0.040983	4.795910	-0.112713	0.114939	0.037817	0.165364
0.091908	0.026147	0.031705	0.004852	0.041382	4.795758	-0.097454	0.042458	0.083594	0.135233
0.092907	0.031299	0.031253	0.004191	0.044429	4.795910	-0.040233	0.053903	0.068335	0.095884
0.093906	0.036994	0.031697	0.008084	0.049382	4.795910	0.116172	-0.018578	0.236184	0.263863
