BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	16	16	16	16	0	16	16	16	16
Contact period end (sample #):	16	16	16	16	7999	16	16	16	16
Contact period start time (s):	0.015984	0.015984	0.015984	0.015984	0.000000	0.015984	0.015984	0.015984	0.015984
Contact period end time (s):	0.015984	0.015984	0.015984	0.015984	7.991009	0.015984	0.015984	0.015984	0.015984
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.048951	17.724008	-0.418039	7.446954	19.229466	4.796673	14.168259	-1.760567	4.489000	14.966305
0.049950	17.496030	-0.533464	7.280093	18.957726	4.797132	13.860525	-2.091876	4.509430	14.724981
0.050949	17.273707	-0.643204	7.116975	18.693474	4.796673	13.398921	-2.450511	4.558276	14.363634
0.051948	17.082698	-0.734725	6.976021	18.466816	4.796368	12.826397	-2.825229	4.614541	13.920933
0.052947	16.948664	-0.795496	6.875655	18.307502	4.796979	12.185900	-3.204786	4.657229	13.433413
0.053946	16.897264	-0.812985	6.834299	18.245168	4.796521	11.520380	-3.577938	4.665343	12.933918
0.054945	16.954156	-0.774658	6.870378	18.309714	4.796521	10.872785	-3.933442	4.617888	12.450474
0.055944	17.145001	-0.667985	7.002313	18.531855	4.796521	10.286063	-4.260053	4.493867	12.006081
0.056943	17.484522	-0.485963	7.240929	18.930814	4.796673	9.795120	-4.548743	4.277551	11.616062
0.057942	17.935683	-0.247766	7.561081	19.465870	4.796673	9.396785	-4.800970	3.978138	11.277165
0.058941	18.446151	0.019695	7.926997	20.077305	4.796673	9.076633	-5.021290	3.612195	10.983924
0.059940	18.963589	0.289510	8.302900	20.703615	4.796521	8.820240	-5.214260	3.196289	10.733192
0.060939	19.435660	0.534765	8.653013	21.281576	4.796063	8.613178	-5.384439	2.746987	10.522593
0.061938	19.810027	0.728550	8.941561	21.746711	4.796368	8.441022	-5.536382	2.280858	10.349140
0.062937	20.034354	0.843952	9.132768	22.033952	4.796826	8.289347	-5.674647	1.814469	10.208192
0.063936	20.056304	0.854059	9.190859	22.078419	4.796826	8.143726	-5.803791	1.364388	10.092860
0.064935	19.835527	0.737923	9.086729	21.830284	4.796368	7.992384	-5.927442	0.944999	9.995289
0.065934	19.389794	0.503499	8.823635	21.309015	4.796216	7.836402	-6.044712	0.560111	9.912693
0.066933	18.754468	0.167494	8.414625	20.556362	4.796673	7.680751	-6.153351	0.210328	9.843877
0.067932	17.964915	-0.253383	7.872752	19.615877	4.796368	7.530403	-6.251107	-0.103745	9.787444
0.068931	17.056503	-0.742423	7.211065	18.533077	4.796521	7.390330	-6.335727	-0.381504	9.741866
0.069930	16.064597	-1.282920	6.442618	17.355821	4.796216	7.265503	-6.404960	-0.622345	9.705584
0.070929	15.024565	-1.858163	5.580460	16.134802	4.796368	7.160895	-6.456554	-0.825663	9.677150
0.071928	13.971773	-2.451444	4.637643	14.924066	4.796216	7.081477	-6.488257	-0.990854	9.655391
0.072927	12.939615	-3.046763	3.629543	13.780058	4.796368	7.031946	-6.498664	-1.119420	9.640228
0.073926	11.951683	-3.631634	2.583080	12.755540	4.796368	7.015620	-6.490583	-1.223324	9.635514
0.074925	11.028533	-4.194659	1.528753	11.897932	4.795910	7.035396	-6.468126	-1.317774	9.647279
0.075924	10.190718	-4.724442	0.497060	11.243583	4.796063	7.094169	-6.435405	-1.417977	9.682579
0.076923	9.458793	-5.209586	-0.481499	10.809273	4.796063	7.194832	-6.396533	-1.539141	9.749369
0.077922	8.853312	-5.638695	-1.376423	10.586338	4.795910	7.340281	-6.355622	-1.696473	9.856556
0.078921	8.394828	-6.000373	-2.157214	10.541878	4.796063	7.533411	-6.316785	-1.905181	10.014178
0.079920	8.103897	-6.283222	-2.793372	10.628026	4.796368	7.777115	-6.284133	-2.180473	10.233685
0.080919	7.991934	-6.478372	-3.261631	10.792522	4.795758	8.069531	-6.260422	-2.531304	10.522249
0.081918	8.023853	-6.589799	-3.575539	10.981446	4.796063	8.384576	-6.241497	-2.934807	10.856818
0.082917	8.149811	-6.625562	-3.760329	11.156055	4.795758	8.688481	-6.221009	-3.358020	11.201204
