;"species";"sex";"spsex";"ecomorph";"pht";"pdia";"dist1";"dist2";"dist3";"island"
"68";"CR";"M";"CRM";"TG";0.9;0.06;"0.120";"0.37";"0.90";"pr"
"69";"CR";"M";"CRM";"TG";1;0.12;"0.230";"0.21";"0.72";"pr"
"70";"CR";"M";"CRM";"TG";1.25;0.09;"0.560";"0.61";"0.89";"pr"
"71";"CR";"M";"CRM";"TG";1.33;0.02;"0.590";"1.00";"0.96";"pr"
"72";"CR";"M";"CRM";"TG";0.62;0.21;"0.470";"1.00";"0.31";"pr"
"73";"CR";"M";"CRM";"TG";1.12;0.07;"0.140";"0.15";"0.18";"pr"
"74";"CR";"M";"CRM";"TG";0.63;0.028;".";".";".";"pr"
"75";"CR";"M";"CRM";"TG";0.25;0.01;".";".";".";"pr"
"76";"CR";"M";"CRM";"TG";0.41;0.008;".";".";".";"pr"
"77";"CR";"M";"CRM";"TG";0.42;0.01;".";".";".";"pr"
"78";"CR";"M";"CRM";"TG";1.92;0.04;"0.440";"0.91";"0.78";"pr"
"79";"CR";"M";"CRM";"TG";0.72;0.11;"0.490";"1.00";"0.47";"pr"
"80";"CR";"M";"CRM";"TG";1.75;0.61;"0.105";"1.00";"1.00";"pr"
"81";"CR";"M";"CRM";"TG";2;0.043;"0.090";"0.45";"0.13";"pr"
"82";"CR";"M";"CRM";"TG";1.4;0.1;"0.360";"0.56";"1.00";"pr"
"83";"CR";"M";"CRM";"TG";1.41;0.07;"0.320";"1.00";"0.15";"pr"
"84";"CR";"M";"CRM";"TG";1.45;0.025;"0.260";"1.00";"0.28";"pr"
"85";"CR";"M";"CRM";"TG";0.8;0.009;"0.040";"0.78";"1.00";"pr"
"86";"CR";"M";"CRM";"TG";1.5;0.002;"0.200";"1.00";"0.80";"pr"
"87";"CR";"M";"CRM";"TG";0.16;0.24;"0.220";"1.00";"0.45";"pr"
"88";"CR";"M";"CRM";"TG";1.3;0.03;"0.400";"0.58";"0.47";"pr"
"89";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"90";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"91";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"92";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"93";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"94";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"95";"CU";"F";"CUF";"CG";3;0.1;"0.200";"0.50";"0.10";"pr"
"96";"CU";"F";"CUF";"CG";1.14;0.083;".";".";".";"pr"
"97";"CU";"M";"CUM";"CG";5;0.08;"0.200";"0.35";"0.15";"pr"
"98";"CU";"M";"CUM";"CG";4.5;0.15;"0.150";"0.30";"0.40";"pr"
"99";"CU";"M";"CUM";"CG";4;0.15;"0.100";"0.40";"0.30";"pr"
"100";"CU";"M";"CUM";"CG";2.25;0.18;"0.200";"0.60";"0.50";"pr"
"101";"CU";"M";"CUM";"CG";2.25;0.18;"0.200";"0.60";"0.50";"pr"
"102";"CU";"M";"CUM";"CG";2.5;0.18;"0.150";"0.60";"0.10";"pr"
"103";"CU";"M";"CUM";"CG";4;0.05;"0.700";"0.20";"0.10";"pr"
"104";"CU";"M";"CUM";"CG";3;0.07;"0.150";"0.10";"0.25";"pr"
"105";"CU";"M";"CUM";"CG";3;0.08;"0.150";"0.10";"0.25";"pr"
"106";"CU";"M";"CUM";"CG";3;0.08;"0.150";"0.10";"0.25";"pr"
"107";"CU";"M";"CUM";"CG";3;0.08;"0.150";"0.10";"0.25";"pr"
"108";"CU";"M";"CUM";"CG";3.2;0.11;"0.240";"0.14";"0.06";"pr"
"109";"CU";"M";"CUM";"CG";3.3;0.13;"0.120";"0.14";"1.00";"pr"
"110";"CU";"M";"CUM";"CG";1.6;0.097;".";".";".";"pr"
"111";"CU";"M";"CUM";"CG";0.5;0.148;".";".";".";"pr"
"112";"CU";"M";"CUM";"CG";0.38;0.075;".";".";".";"pr"
"113";"CU";"M";"CUM";"CG";0.81;0.061;".";".";".";"pr"
"114";"EV";"F";"EVF";"TC";2;0.2;"1.000";"1.00";"0.30";"pr"
"115";"EV";"F";"EVF";"TC";0.95;0.25;".";".";".";"pr"
"116";"EV";"F";"EVF";"TC";9;0.025;"0.02";"0.30";"1.00";"pr"
"117";"EV";"F";"EVF";"TC";2.27;0.14;"1.00";"0.10";"0.20";"pr"
"118";"EV";"F";"EVF";"TC";1.15;0.13;"0.14";"0.26";"0.11";"pr"
"119";"EV";"F";"EVF";"TC";7.5;0.2;"0.10";"1.00";"0.04";"pr"
"120";"EV";"F";"EVF";"TC";1.06;0.065;"0.03";"0.48";"1.00";"pr"
"121";"EV";"F";"EVF";"TC";0.24;0.27;"0.22";"0.28";"0.75";"pr"
"122";"EV";"F";"EVF";"TC";1.82;0.06;"0.10";"0.25";"0.60";"pr"
"123";"EV";"F";"EVF";"TC";1.31;0.04;"0.08";"0.13";"0.24";"pr"
"124";"EV";"F";"EVF";"TC";0.17;0.034;"0.17";"0.59";"0.37";"pr"
"125";"EV";"F";"EVF";"TC";0.7;0.105;"0.17";"1.00";"0.53";"pr"
"126";"EV";"F";"EVF";"TC";0.94;0.014;"0.02";"0.27";"0.66";"pr"
"127";"EV";"F";"EVF";"TC";1.01;0.034;"0.09";"1.00";"0.11";"pr"
"128";"EV";"F";"EVF";"TC";2;0.035;"0.19";"1.00";"1.00";"pr"
"129";"EV";"F";"EVF";"TC";1.36;0.19;"0.97";"0.89";"0.90";"pr"
"130";"EV";"F";"EVF";"TC";1.77;0.21;"1.00";"1.00";"0.44";"pr"
"131";"EV";"F";"EVF";"TC";2.35;0.18;"1.00";"0.21";"0.16";"pr"
"132";"EV";"F";"EVF";"TC";2.04;0.29;"0.21";"0.46";"0.31";"pr"
"133";"EV";"F";"EVF";"TC";0.61;0.04;"1.00";"1.00";"0.37";"pr"
"134";"EV";"F";"EVF";"TC";0.61;0.22;"0.39";"0.66";"0.53";"pr"
"135";"EV";"F";"EVF";"TC";0.73;0.21;"0.20";"0.29";"0.35";"pr"
"136";"EV";"F";"EVF";"TC";0.79;0.069;"0.22";"0.80";"0.81";"pr"
"137";"EV";"F";"EVF";"TC";0.83;0.11;"0.16";"0.21";"0.11";"pr"
"138";"EV";"F";"EVF";"TC";1.17;0.034;"0.06";"0.45";"1.00";"pr"
"139";"EV";"F";"EVF";"TC";1.12;0.033;"0.15";"0.26";"0.45";"pr"
"140";"EV";"F";"EVF";"TC";0.76;0.044;"0.11";"0.26";"0.26";"pr"
"141";"EV";"F";"EVF";"TC";4;0.02;"0.06";"1.00";"0.10";"pr"
"142";"EV";"F";"EVF";"TC";0.43;0.11;"0.33";"1.00";"1.00";"pr"
"143";"EV";"F";"EVF";"TC";1.4;0.08;"1.00";"0.04";"0.66";"pr"
"144";"EV";"F";"EVF";"TC";0.65;0.35;"0.12";"0.34";"0.37";"pr"
"145";"EV";"F";"EVF";"TC";0.7;0.01;"0.11";"0.61";"1.00";"pr"
"146";"EV";"F";"EVF";"TC";0.88;0.02;"0.08";"1.00";"0.55";"pr"
"147";"EV";"F";"EVF";"TC";0.41;0.22;"0.30";"0.10";"0.54";"pr"
"148";"EV";"F";"EVF";"TC";10;0.08;"0.15";"0.10";"0.10";"pr"
