,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
93,"Psilophthalmus paeminosus","Gymnophthalmidae",32,43.2,3.2,4,7.5,4,5,3,"burrowing","Pianka & Vit (2003)",0.36,-1.7,-0.8,0,1
94,"Ptychoglossus brevifrontalis","Gymnophthalmidae",51.9,84.8,6.4,10.4,18.5,5,5,5,"terrestrial","Duellman (2005)",0.65,-0.73,-0.1,0,0
95,"Rhachisaurus brachylepis","Gymnophthalmidae",60.1,134,4.9,5.7,10.4,4,4,1,,,0.14,-1.06,0.53,1,
96,"Tretioscincus agilis","Gymnophthalmidae",60.3,85,8.5,17.2,26.4,5,5,2,,,0.87,-0.26,-0.16,0,
97,"Vanzosaura rubricauda","Gymnophthalmidae",29.6,39,3.4,5.4,9.9,4,5,5,"terrestrial","Pianka & Vit (2003)",0.49,-1.65,-0.93,0,0
98,"Heloderma suspectum","Helodermatidae",300.3,124.3,29.3,75.2,82.1,5,5,5,"terrestrial, climbing, digging","Stebbins (1985), Zug et al. (2001)",1.48,2.44,-0.16,0,0
99,"Basiliscus basiliscus","Iguania",163.9,454.3,30.2,64.9,138.9,5,5,3,"arboreal, semi-aquatic","Savage (2002)",1.12,1.43,1.77,0,0
100,"Calotes versicolor","Iguania",83.5,257.2,14.1,39.6,61.9,5,5,5,"arboreal","Pianka and Vitt (2003)",0.91,0.22,1.18,0,0
101,"Dipsosaurus dorsalis","Iguania",123.1,226.6,16.2,41.6,79.7,5,5,6,"terrestrial","JJW, Stebbins (1985)",1.03,0.77,0.91,0,0
102,"Enyalioides laticeps","Iguania",112.1,192.3,22,53.3,89.4,5,5,5,"arboreal, terrestrial","Wiens & Etheridge (2003)",1.22,1.06,0.73,0,0
103,"Gambelia wislizenii","Iguania",100.2,193.7,17,36.6,69.6,5,5,6,"terrestrial","JJW, Stebbins (1985)",1.05,0.66,0.78,0,0
104,"Leiocephalus carinatus","Iguania",108.1,154.6,17.1,38.3,65.2,5,5,4,"terrestrial","Schwartz & Henderson (1991)",1.12,0.82,0.46,0,0
105,"Leiolepis belliana","Iguania",120.9,255.3,16.8,38.7,72.6,5,5,4,"terrestrial, burrowing","Pianka and Vitt (2003)",0.97,0.73,1.09,0,0
106,"Phrynocephalus versicolor","Iguania",52.4,58.4,8.3,22,36.6,5,5,8,"terrestrial, burrowing","Pianka and Vitt (2003)",1.08,-0.25,-0.64,0,0
107,"Polychrus marmoratus","Iguania",129.3,321.3,19.4,42.2,54,5,5,6,"arboreal","Savage (2002)",0.91,0.86,1.36,0,0
108,"Urosaurus ornatus","Iguania",48.9,71.8,7.7,17.2,26.5,5,5,7,"saxicolous, arboreal","JJW, Stebbins (1985)",0.9,-0.49,-0.34,0,0
109,"Meroles  cuneirostris","Lacertidae",50.9,81.2,10.2,17.9,38.1,5,5,4,"terrestrial","Branch (1998)",0.98,-0.22,-0.15,0,0
110,"Podarcis sicula","Lacertidae",71.4,115.7,9.9,19.5,32.1,5,5,6,"terrestrial, saxicolous, arboreal","Arnold & Burton (1978)",0.85,-0.06,0.2,0,0
111,"Psammodromus hispanicus","Lacertidae",37.5,61.4,6.5,12.8,21.4,5,5,6,"terrestrial","Arnold & Burton (1978)",0.82,-0.87,-0.45,0,0
112,"Takydromus smaragdinus","Lacertidae",48.2,151.3,7.7,17.2,23.8,5,5,9,"arboreal, grass-swimming","Pianka & Vit (2003)",0.65,-0.77,0.65,0,0
113,"Lanthanotus borneensis","Lanthanotidae",169,188.6,13.3,26.1,33,5,5,5,"semi-aquatic, burrowing","Zug et al. (2001)",0.82,0.88,0.59,0,0
114,"Aprasia pseudopulchella","Pygopodidae",140.1,84.1,3,0,0,0,0,1,"burrowing","Cogger (1992)",-1.63,-0.69,0.15,1,1
115,"Aprasia pulchella","Pygopodidae",97.8,72.7,2.7,0,0.2,0,0.3,3,"burrowing","Cogger (1992)",-1.5,-1.1,0.06,1,1
116,"Aprasia repens","Pygopodidae",96.4,46.1,2.6,0,0.2,0,0.4,11,"burrowing","Cogger (1992)",-1.35,-1,-0.54,1,1
117,"Aprasia striolata","Pygopodidae",91.8,58.8,2.9,0,0.4,0,1,1,"burrowing","Cogger (1992)",-1.27,-1.07,-0.18,1,1
118,"Delma australis","Pygopodidae",70,148,4.2,0,2.6,0,1,1,"terrestrial, under cover, in spinifex","Cogger (1992)",-1.34,-1.3,1.19,2,0
119,"Delma borea","Pygopodidae",67.8,183.5,4.6,0,2.5,0,1,7,"terrestrial (for genus)","Cogger (1992)",-1.39,-1.32,1.49,2,0
120,"Delma fraseri","Pygopodidae",90.4,281.6,6.2,0,3.5,0,1,6,"terrestrial, cryptic","Cogger (1992)",-1.42,-0.92,2.01,2,0
121,"Delma grayi","Pygopodidae",84.8,330,6.2,0,5,0,1,1,"terrestrial, in spinifex","Cogger (1992)",-1.43,-1.04,2.25,2,0
122,"Delma impar","Pygopodidae",95.9,175.1,5.8,0,2.9,0,1,1,"terrestrial, under cover","Cogger (1992)",-1.31,-0.76,1.36,2,0
123,"Delma inornata","Pygopodidae",91.8,219.6,6.3,0,5.2,0,1,1,"terrestrial, under cover, in grass","Cogger (1992)",-1.29,-0.8,1.69,2,0
124,"Delma molleri","Pygopodidae",68.8,188.2,5.1,0,3,0,1,2,"terrestrial (for genus)","Cogger (1992)",-1.36,-1.22,1.54,2,0
125,"Delma nasuta","Pygopodidae",96.4,350,7.4,0,5,0,1,1,"terrestrial, in grass","Cogger (1992)",-1.41,-0.77,2.31,2,0
126,"Delma tincta","Pygopodidae",72.5,202.9,4.7,0,2.1,0,1,5,"terrestrial ""sometimes burrows""","Cogger (1992)",-1.44,-1.27,1.6,2,0
127,"Lialis burtoni","Pygopodidae",210.3,241.9,12.6,0,0.5,0,0.4,7,"terrestrial, vegetation","Cogger (1992)",-1.49,0.62,1.58,2,0
128,"Lialis jicarii","Pygopodidae",249.8,366.8,13.7,0,0.8,0,0.4,8,"terrestrial (for genus)","Cogger (1992)",-1.58,0.71,2.1,2,0
129,"Pletholax gracilis","Pygopodidae",60.4,211,3.8,0,1.2,0,1,1,"grass-swimming","Pianka & Vit (2003)",-1.55,-1.66,1.68,2,0
130,"Pygopus lepidopus","Pygopodidae",146.3,288.2,8.6,0,8.5,0,1,4,"terrestrial","Cogger (1992)",-1.25,-0.17,1.96,2,0
131,"Pygopus nigriceps","Pygopodidae",150.9,320.1,7.6,0,6.1,0,1,1,"terrestrial","Cogger (1992)",-1.36,-0.3,2.07,2,0
132,"Acontias litoralis","Scincidae",114,27.4,3.6,0,0,0,0,13,"BURROWING","Branch (1998)",-1.23,-0.31,-1.26,1,1
133,"Acontias meleagris","Scincidae",197.9,40.6,6,0,0,0,0,10,"BURROWING","Branch (1998)",-1.25,0.55,-0.85,1,1
134,"Acontias percivali","Scincidae",207,31.2,7.1,0,0,0,0,11,"BURROWING","Branch (1998)",-1.12,0.84,-1.2,1,1
135,"Acontophiops lineatus","Scincidae",166.9,33,5.3,0,0,0,0,8,"BURROWING","Branch (1998)",-1.21,0.35,-1.09,1,1
136,"Amphiglossus astrolabi","Scincidae",190.5,273.3,17.9,32.6,44.7,5,5,3,"semi-aquatic","Glaw & Vences (1994)",0.86,1.17,1.05,0,0
137,"Amphiglossus igneocaudatus","Scincidae",52.8,56.7,5.3,7,16.4,5,5,2,"terrestrial","Glaw & Vences (1994)",0.65,-0.79,-0.62,0,0
