,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
218,"Tribolonotus gracilis","Scincidae",70,73.5,12.2,24.5,33,5,5,2,"under vegetation near water","Hartdegen et al. (2001)",1.1,0.31,-0.4,0,0
219,"Typhlacontias brevipes","Scincidae",94.5,35.7,4.2,0,0,0,0,12,"burrowing","Branch (1998)",-1.28,-0.43,-0.84,1,1
220,"Typhlacontias punctatissimus","Scincidae",65.6,36.3,2.8,0,0,0,0,3,"burrowing","Branch (1998)",-1.38,-1.16,-0.74,1,1
221,"Typhlosaurus caecus","Scincidae",190.1,29.4,4.1,0,0,0,0,8,"burrowing","Branch (1998)",-1.23,0.27,-1.3,1,1
222,"Typhlosaurus lineatus lineatus","Scincidae",141.1,22.7,4.3,0,0,0,0,26,"burrowing","Branch (1998)",-1.13,0.13,-1.55,1,1
223,"Voeltzkowia fierinensis","Scincidae",57.4,59.9,3,0,3.6,0,2,2,"burrowing","Glaw & Vences (1994)",-0.97,-1.52,0.04,1,1
224,"Voeltzkowia lineata","Scincidae",64.6,54.7,3.1,0,0,0,0,8,"burrowing","Glaw & Vences (1994)",-1.48,-1.22,-0.19,1,1
225,"Acrochordus granulatus","Serpentes",675.9,82.4,9.4,0,0,0,0,6,"aquatic","Zug et al. (2001)",-1.38,1.85,-0.23,1,0
226,"Agkistrodon contortrix","Serpentes",677,97.4,14.4,0,0,0,0,6,"terrestrial","Contant & Collins (1991)",-1.33,2.2,0.03,1,0
227,"Anilius scytale","Serpentes",725,25.2,9.3,0,0,0,0,5,"burrowing","JJW, Zug et al. (2001)",-1,2.33,-1.82,1,1
228,"Calabaria reinhardtii","Serpentes",694.8,56.9,12.8,0,1.8,0,0.8,4,"burrowing","Grzimek encyclopedia",-0.86,2.23,-0.66,1,1
229,"Candoia carinata","Serpentes",526.2,88.8,14.4,0,1,0,0.4,5,"arboreal, terrestrial","Austin (2000)",-1.1,1.96,0.01,1,0
230,"Casarea dussumieri","Serpentes",496,187,8.2,0,0,0,0,1,,,-1.67,1.14,0.93,1,
231,"Causus maculatus","Serpentes",486.8,37.6,10.8,0,0,0,0,9,"terrestrial","Spawls et al. (2002)",-1.09,1.96,-1.16,1,0
232,"Cereberus rynchops","Serpentes",482.9,122.6,8.7,0,0,0,0,7,"aquatic","JJW, Zug et al. (2001)",-1.52,1.33,0.38,1,0
233,"Charina bottae","Serpentes",406.8,53.8,8.2,0,0.6,0,0.6,5,"burrowing, terrestrial","Stebbins (1985)",-1.06,1.35,-0.64,1,0
234,"Chondropython viridis","Serpentes",938.5,177.5,21.7,0,1.1,0,0.8,4,"arboreal","Cogger (1992)",-1.15,2.6,0.8,1,0
235,"Cylindrophus maculatus","Serpentes",322.7,6.3,5.1,0,0,0,0,5,"burrowing","Zug et al. (2001)",-0.69,1.52,-3.48,1,1
236,"Elaphe guttata","Serpentes",771,145.6,12.7,0,0,0,0,5,"terrestrial, arboreal","Conant & Collins (1991)",-1.49,2.05,0.51,1,0
237,"Epircrates striatus","Serpentes",1213.6,240,22.6,0,3.9,0,1,5,"arboreal","Schwartz & Henderson (1991)",-1.09,2.76,1.16,2,0
238,"Eryx johni","Serpentes",635.4,80.6,13.4,0,0.9,0,0.6,5,"burrowing","Zug et al. (2001)",-1.06,2.08,-0.18,1,1
239,"Exiliboa plicata","Serpentes",360.3,55.3,6,0,1.4,0,1,4,"terrestrial","Zug et al. (2001)",-1.02,0.91,-0.58,1,0
240,"Farancia abacura","Serpentes",931,123,11.6,0,0,0,0,5,"burrowing, semi-aquatic","Conant & Collins (1991)",-1.46,2.2,0.22,1,0
241,"Leptotyphlops humilis","Serpentes",232.3,11.3,2.4,0,0,0,0,4,"burrowing","Stebbins (1985), Zug et al. (2001)",-1.05,0.29,-2.68,1,1
242,"Loxocemus bicolor","Serpentes",595.3,72.2,10.5,0,0.7,0,0.8,4,"terrestrial","Zug et al. (2001)",-1.06,1.81,-0.33,1,0
243,"Micrurus fulvius","Serpentes",673.2,79.9,8,0,0,0,0,5,"terrestrial","Conant & Collins (1991)",-1.41,1.71,-0.29,1,0
244,"Nerodia sipedon","Serpentes",555.5,175.3,12.3,0,0,0,0,6,"semi-aquatic (for genus)","Conant & Collins (1991)",-1.56,1.65,0.85,1,0
245,"Pareas kuangtungensis","Serpentes",438.3,127.2,7.4,0,0,0,0,3,"arboreal","Zug et al. (2001)",-1.57,1.07,0.45,1,0
246,"Trachyboa boulengeri","Serpentes",287,32.7,6.8,0,0.4,0,0.2,6,"terrestrial, semi-aquatic","Zug et al. (2001)",-1.05,1.07,-1.22,1,0
247,"Tropidophis haetianus","Serpentes",385.2,53.6,7.4,0,1.1,0,0.8,4,"terrestrial, arboreal","Schwartz & Henderson (1991)",-1.01,1.19,-0.63,1,0
248,"Typhlops angolensis","Serpentes",403.9,7.5,6.2,0,0,0,0,5,"burrowing (for genus)","Zug et al. (2001)",-0.7,1.84,-3.29,1,1
249,"Ungaliophis continentalis","Serpentes",458.1,60.5,7.7,0,1.5,0,0.5,2,"arboreal (for genus)","Savage (2002)",-1.07,1.37,-0.51,1,0
250,"Uropeltis ceylonicus","Serpentes",266.4,13.2,5,0,0,0,0,5,"burrowing","Zug et al. (2001)",-0.93,1.05,-2.44,1,1
251,"Xenopeltis unicolor","Serpentes",611.1,68.5,11.9,0,0,0,0,5,"""semi-fossorial"" use tunnels of other animals?","Zug et al. (2001)",-1.27,2.05,-0.43,1,0
252,"Shinisaurus crocodilurus","Shinisauridae",135.5,162,18.5,40.7,48.9,5,5,4,"terrestrial, semi-aquatic","Zug et al. (2001)",1.09,1.09,0.44,0,0
253,"Sphenodon punctatus","Sphenodontidae",216.7,206.1,36.4,62.9,87,5,5,4,"terrestrial, burrowing","Zug et al. (2001)",1.34,2.14,0.65,0,0
254,"Ameiva ameiva","Teiidae",191.3,400.1,36.4,61.4,123.2,5,5,6,"terrestrial","JJW, Duellman (2005)",1.17,1.78,1.58,0,0
255,"Aspidocelis sexlineatus","Teiidae",63.9,140.8,11,20.7,41.8,5,5,8,"terrestrial","JJW, Conant & Collins (1991)",0.86,-0.12,0.51,0,0
256,"Dicrodon guttulatum","Teiidae",120.1,273.3,21.4,40.1,82.5,5,5,9,"terrestrial","Zug et al. (2001)",1.03,0.94,1.2,0,0
257,"Teius teyou","Teiidae",115.6,247.3,19.2,34.4,72.4,5,4,4,"terrestrial","Zug et al. (2001)",0.94,0.84,1.08,0,0
258,"Varanus griseus","Varanidae",303.5,355.3,37.1,73.9,90.4,5,5,3,"terrestrial","Zug et al. (2001)",1.2,2.29,1.25,0,0
259,"Lepidophyma flavimaculatum","Xantusiidae",85.7,122.9,10.8,26.3,34.7,5,5,4,"terrestrial, cryptic","Savage (2002)",0.92,0.21,0.2,0,0
260,"Xantusia vigilis","Xantusiidae",39.7,48.5,5,10.1,14,5,5,7,"terrestrial","Stebbins (1985)",0.73,-1.01,-0.79,0,0
261,"Xenosaurus grandis","Xenosauridae",100.5,90.3,14.9,30.7,37.8,5,5,5,"terrestrial, saxicolous","JJW, Zug et al. (2001)",1.14,0.79,-0.24,0,0
